stopA_id,stopB_id,lat_A,long_A,lat_B,long_B
S142,S143,5.60103,-0.255634,5.61037,-0.261262
S1424,T132,5.57723,-0.233804,5.58467,-0.235117
S143,S144,5.61037,-0.261262,5.6161,-0.260891
S1431,T132,5.57981,-0.233624,5.58467,-0.235117
S1431,T132,5.57981,-0.233624,5.58467,-0.235117
S1435,T1043,5.57285,-0.216439,5.56932,-0.215881
S1439,S1441,5.56122,-0.199328,5.55715,-0.194644
S144,S145,5.6161,-0.260891,5.61927,-0.261898
S144,S3169,5.6161,-0.260891,5.61722,-0.261209
S1441,T1442,5.55715,-0.194644,5.55346,-0.184181
S1448,S1449,5.56029,-0.209609,5.56904,-0.184942
S1449,T1450,5.56904,-0.184942,5.55898,-0.182449
S1449,T1450,5.56904,-0.184942,5.55898,-0.182449
S145,S146,5.61927,-0.261898,5.62659,-0.261829
S1456,S1457,5.55838,-0.194116,5.56661,-0.189814
S1457,S1458,5.56661,-0.189814,5.57047,-0.18735
S1458,S1449,5.57047,-0.18735,5.56904,-0.184942
S146,T4753,5.62659,-0.261829,5.62537,-0.261719
S1463,S1464,5.5555,-0.192823,5.56249,-0.200597
S1464,S1465,5.56249,-0.200597,5.56371,-0.206164
S1464,S4001,5.56249,-0.200597,5.56419,-0.201408
S1465,T1043,5.56371,-0.206164,5.56932,-0.215881
S1469,S237,5.56361,-0.206259,5.56256,-0.204417
S1474,T1467,5.56757,-0.213322,5.56891,-0.214872
S1478,S1479,5.55536,-0.192731,5.55285,-0.189111
S1479,T1442,5.55285,-0.189111,5.55346,-0.184181
S1483,T1416,5.56712,-0.213285,5.56861,-0.215996
S1487,S1489,5.5765,-0.227973,5.5805,-0.229316
S1489,S44,5.5805,-0.229316,5.58109,-0.22985
S15,S17,5.65746,-0.265435,5.6406,-0.248839
S15,S380,5.65746,-0.265435,5.65291,-0.25861
S15,S5357,5.65746,-0.265435,5.61604,-0.248396
S15,S5998,5.65746,-0.265435,5.65297,-0.258739
S150,S151,5.61804,-0.26153,5.59099,-0.252222
S1509,S1510,5.57182,-0.206973,5.57041,-0.213057
S151,S152,5.59099,-0.252222,5.56236,-0.228567
S151,S1998,5.59099,-0.252222,5.58374,-0.251636
S1510,T1043,5.57041,-0.213057,5.56932,-0.215881
S152,S153,5.56236,-0.228567,5.5568,-0.22191
S152,T1043,5.56236,-0.228567,5.56932,-0.215881
S1520,T1521,5.56783,-0.200255,5.56463,-0.199559
S1527,S216,5.59529,-0.221889,5.58411,-0.2172
S1527,S5283,5.59529,-0.221889,5.58807,-0.21801
S1527,S465,5.59529,-0.221889,5.59884,-0.224234
S153,T113,5.5568,-0.22191,5.55108,-0.21306
S153,S1636,5.5568,-0.22191,5.5554,-0.219121
S1530,S5259,5.6006,-0.238944,5.59861,-0.234124
S1530,S1527,5.6006,-0.238944,5.59529,-0.221889
S1530,S1531,5.6006,-0.238944,5.60164,-0.240661
S1530,S2792,5.6006,-0.238944,5.60205,-0.239937
S1530,S2925,5.6006,-0.238944,5.60427,-0.244311
S1531,T0,5.60164,-0.240661,5.6074,-0.247032
S1535,S34,5.60076,-0.23916,5.60264,-0.241701
S1535,T5296,5.60076,-0.23916,5.60138,-0.240334
S1535,S1537,5.60076,-0.23916,5.59982,-0.23755
S1537,S1539,5.59982,-0.23755,5.59836,-0.230589
S1539,S241,5.59836,-0.230589,5.59872,-0.223758
S1542,T1043,5.57781,-0.21679,5.56932,-0.215881
S1546,S1547,5.58298,-0.216674,5.59869,-0.223588
S1547,S465,5.59869,-0.223588,5.59884,-0.224234
S1553,S1370,5.58395,-0.217032,5.57301,-0.216396
S1560,S1562,5.57625,-0.187973,5.5833,-0.185023
S1562,S1564,5.5833,-0.185023,5.58773,-0.182789
S1564,S1566,5.58773,-0.182789,5.5922,-0.180574
S1566,S1568,5.5922,-0.180574,5.60639,-0.1774
S1568,S1570,5.60639,-0.1774,5.6282,-0.176514
S1568,S2220,5.60639,-0.1774,5.62086,-0.176244
S157,S158,5.63777,-0.171356,5.64211,-0.164863
S1570,S1571,5.6282,-0.176514,5.63787,-0.177464
S1570,S2523,5.6282,-0.176514,5.64155,-0.178125
S1570,S3539,5.6282,-0.176514,5.65971,-0.166503
S1570,S2523,5.6282,-0.176514,5.64155,-0.178125
S1570,S3919,5.6282,-0.176514,5.65195,-0.180163
S1570,S2523,5.6282,-0.176514,5.64155,-0.178125
S1571,S1572,5.63787,-0.177464,5.64923,-0.179635
S1572,S1573,5.64923,-0.179635,5.6665,-0.177027
S1573,S282,5.6665,-0.177027,5.67575,-0.173581
S1573,S280,5.6665,-0.177027,5.67101,-0.175265
S1573,S278,5.6665,-0.177027,5.66794,-0.176689
S1573,S278,5.6665,-0.177027,5.66794,-0.176689
S1573,S278,5.6665,-0.177027,5.66794,-0.176689
S1573,S278,5.6665,-0.177027,5.66794,-0.176689
S1575,T534,5.67605,-0.173605,5.67642,-0.172071
S1579,S1580,5.67809,-0.173287,5.67065,-0.175824
S158,S160,5.64211,-0.164863,5.64235,-0.161912
S1580,S1581,5.67065,-0.175824,5.66816,-0.177077
S1580,S1582,5.67065,-0.175824,5.66651,-0.177472
S1581,S1582,5.66816,-0.177077,5.66651,-0.177472
S1581,S2540,5.66816,-0.177077,5.65397,-0.1808
S1581,S4069,5.66816,-0.177077,5.64994,-0.1802
S1582,S1583,5.66651,-0.177472,5.65901,-0.178968
S1582,S3527,5.66651,-0.177472,5.66187,-0.178328
S1583,S1584,5.65901,-0.178968,5.64848,-0.179969
S1584,S1585,5.64848,-0.179969,5.63984,-0.178143
S1584,S1585,5.64848,-0.179969,5.63984,-0.178143
S1585,S1586,5.63984,-0.178143,5.62086,-0.176369
S1585,S332,5.63984,-0.178143,5.62846,-0.176742
S1585,S3531,5.63984,-0.178143,5.61598,-0.176142
S1585,S332,5.63984,-0.178143,5.62846,-0.176742
S1585,S3487,5.63984,-0.178143,5.60811,-0.177262
S1586,S1588,5.62086,-0.176369,5.59125,-0.180975
S1586,S2026,5.62086,-0.176369,5.59186,-0.180872
S1586,S2237,5.62086,-0.176369,5.62738,-0.176017
S1586,S2547,5.62086,-0.176369,5.60452,-0.178003
S1586,S3487,5.62086,-0.176369,5.60811,-0.177262
S1588,S1589,5.59125,-0.180975,5.58766,-0.183011
S1588,S1589,5.59125,-0.180975,5.58766,-0.183011
S1588,S1337,5.59125,-0.180975,5.58969,-0.207225
S1588,S1589,5.59125,-0.180975,5.58766,-0.183011
S1589,S1591,5.58766,-0.183011,5.57626,-0.188174
S1589,S2028,5.58766,-0.183011,5.57347,-0.201041
S1589,S2231,5.58766,-0.183011,5.59628,-0.179383
S1589,S1592,5.58766,-0.183011,5.5734,-0.192669
S1589,S1613,5.58766,-0.183011,5.57205,-0.205816
S1591,S1592,5.57626,-0.188174,5.5734,-0.192669
S1592,S1594,5.5734,-0.192669,5.57318,-0.201092
S1592,S2555,5.5734,-0.192669,5.5729,-0.206441
S1594,T1558,5.57318,-0.201092,5.56985,-0.213342
S1598,S1599,5.58838,-0.19656,5.59209,-0.195451
S1599,S1600,5.59209,-0.195451,5.59391,-0.194881
S160,S161,5.64235,-0.161912,5.64527,-0.156198
S1600,T1601,5.59391,-0.194881,5.59327,-0.194974
S1600,S3810,5.59391,-0.194881,5.60318,-0.200693
S1604,S1606,5.5885,-0.196555,5.58635,-0.197146
S1606,S1608,5.58635,-0.197146,5.58366,-0.197862
S1606,S3684,5.58635,-0.197146,5.58371,-0.197932
S1606,T136,5.58635,-0.197146,5.58137,-0.198538
S1606,S3684,5.58635,-0.197146,5.58371,-0.197932
S1606,T136,5.58635,-0.197146,5.58137,-0.198538
S1608,S1609,5.58366,-0.197862,5.58183,-0.198438
S1609,S1611,5.58183,-0.198438,5.57808,-0.20073
S1609,T136,5.58183,-0.198438,5.58137,-0.198538
S161,S162,5.64527,-0.156198,5.64809,-0.150451
S1611,S1612,5.57808,-0.20073,5.57359,-0.201511
